year,term,college,subject,subject_name,number,name,description,credit_hours,gen_ed,gen_ed_name,crn,section,section_info,section_notes,section_attributes,section_capp_area,section_co_request,section_special_approval,part_of_term,start_date,end_date,meeting,type,type_name,start_time,end_time,days,room,building,instructor
2015,Winter,KV,ATMS,Atmospheric Sciences,120,Severe and Hazardous Weather,"Most extreme manifestations of weather and climate are analyzed in terms of their physical basis and their historical, economic and human consequences. Emphasis is placed on the interplay between technological advances, the evolution of meteorology as a science, and the impacts of extreme weather (winter storms, floods, severe thunderstorms, hurricanes, El Nino). Technological advances include satellites, weather radars and profilers, and computer models used for weather prediction. Same as ESE 120.",3 hours.,1PS,Nat Sci & Tech - Phys Sciences,10002,ONL,Financial Aid is generally not available for the winter session.  If you have specific questions regarding your aid eligibility contact the Office of Student Financial Aid at finaid@illinois.edu or 217-333-0100.,,"Physical Sciences, and Quant Reasoning II course.",,,,1,2014-12-22Z,2015-01-16Z,0,ONL,Online,ARRANGED,,,,,"Snodgrass, E"
2015,Winter,KV,ATMS,Atmospheric Sciences,120,Severe and Hazardous Weather,"Most extreme manifestations of weather and climate are analyzed in terms of their physical basis and their historical, economic and human consequences. Emphasis is placed on the interplay between technological advances, the evolution of meteorology as a science, and the impacts of extreme weather (winter storms, floods, severe thunderstorms, hurricanes, El Nino). Technological advances include satellites, weather radars and profilers, and computer models used for weather prediction. Same as ESE 120.",3 hours.,1QR2,Quantitative Reasoning II,10002,ONL,Financial Aid is generally not available for the winter session.  If you have specific questions regarding your aid eligibility contact the Office of Student Financial Aid at finaid@illinois.edu or 217-333-0100.,,"Physical Sciences, and Quant Reasoning II course.",,,,1,2014-12-22Z,2015-01-16Z,0,ONL,Online,ARRANGED,,,,,"Snodgrass, E"
2015,Winter,KM,BADM,Business Administration,300,The Legal Environment of Bus,"Introduction to law and the legal system, tort law, products liability, agency law, introduction to business organizations, introduction to government regulation, securities regulation, antitrust law.",3 hours.,,Quantitative Reasoning II,10003,ONL,Financial Aid is generally not available for the winter session.  If you have specific questions regarding your aid eligibility contact the Office of Student Financial Aid at finaid@illinois.edu or 217-333-0100.,,,,,,1,2014-12-22Z,2015-01-16Z,0,ONL,Online,ARRANGED,,,,,"Marrs, G"
2015,Winter,KM,BADM,Business Administration,310,Mgmt and Organizational Beh,"General analysis of management and organizational behavior from a systems point of view, including classical organizational theory and management, organizational behavior, and management science; environmental forces; planning, organizing, and control processes; motivation, incentives, leadership, communication, and interpersonal relations; and discussion of production and decision-making and mathematical models.",3 hours.,,Quantitative Reasoning II,10004,ONL,Financial Aid is generally not available for the winter session.  If you have specific questions regarding your aid eligibility contact the Office of Student Financial Aid at finaid@illinois.edu or 217-333-0100.,,,,,,1,2014-12-22Z,2015-01-16Z,0,ONL,Online,ARRANGED,,,,,"Shabbir, M"
2015,Winter,KM,BADM,Business Administration,350,IT for Networked Organizations,"Examines the information technology and its impact on modern organizations. Topics include: (1) IT, Internet Technologies, E-Commerce and business models, (2) organizing and modeling enterprise data, (3) Network protocol and architecture, (4) development of IT systems, and (5) IT management and organization design.",3 hours.,,Quantitative Reasoning II,10005,ONL,Financial Aid is generally not available for the winter session.  If you have specific questions regarding your aid eligibility contact the Office of Student Financial Aid at finaid@illinois.edu or 217-333-0100.,,,,,,1,2014-12-22Z,2015-01-16Z,0,ONL,Online,ARRANGED,,,,,"Sachdev, V"
2015,Winter,KM,BADM,Business Administration,380,International Business,"Introduces the field of international business and management. Examines the economic, political, and legal environments of international business. Analyzes differences in financial management, marketing, and management practices for firms doing business abroad.",3 hours.,,Quantitative Reasoning II,10006,ONL,Financial Aid is generally not available for the winter session.  If you have specific questions regarding your aid eligibility contact the Office of Student Financial Aid at finaid@illinois.edu or 217-333-0100.,,,,,,1,2014-12-22Z,2015-01-16Z,0,ONL,Online,ARRANGED,,,,,"Bucheli, M"
2015,Winter,KV,ECON,Economics,102,Microeconomic Principles,"Introduction to the functions of individual decision-makers, both consumers and producers, within the larger economic system. Primary emphasis on the nature and functions of product markets, the theory of the firm under varying conditions of competition and monopoly, and the role of government in prompting efficiency in the economy. Credit is not given for ECON 102 and ACE 100.",3 hours.,1SS,Social & Beh Sci - Soc Sci,10007,ONL,"Financial Aid is generally not available for the winter session.  If you have specific questions regarding your aid eligibility contact the Office of Student Financial Aid at finaid@illinois.edu or 217-333-0100. This section has one or more proctored exams, which may carry additional fees. For ProctorU technical specifications and additional information visit: http://www.ao.uiuc.edu/support/source/student_services/proctoru_tech.html",,Social Sciences course.,,,,1,2014-12-22Z,2015-01-16Z,0,ONL,Online,ARRANGED,,,,,"Sarmiento Barbieri, I"
2015,Winter,KV,ECON,Economics,102,Microeconomic Principles,"Introduction to the functions of individual decision-makers, both consumers and producers, within the larger economic system. Primary emphasis on the nature and functions of product markets, the theory of the firm under varying conditions of competition and monopoly, and the role of government in prompting efficiency in the economy. Credit is not given for ECON 102 and ACE 100.",3 hours.,1SS,Social & Beh Sci - Soc Sci,10007,ONL,"Financial Aid is generally not available for the winter session.  If you have specific questions regarding your aid eligibility contact the Office of Student Financial Aid at finaid@illinois.edu or 217-333-0100. This section has one or more proctored exams, which may carry additional fees. For ProctorU technical specifications and additional information visit: http://www.ao.uiuc.edu/support/source/student_services/proctoru_tech.html",,Social Sciences course.,,,,1,2014-12-22Z,2015-01-16Z,0,ONL,Online,ARRANGED,,,,,"Vazquez, J"
2015,Winter,KV,ECON,Economics,203,Economic Statistics II,"Continuation of ECON 202. Builds upon point and interval estimation as well as hypothesis testing skills first introduced in ECON 202. Utilizes a practical project format to extend the student skill set to include simple and multiple linear regression and time series techniques. Prerequisite: ECON 202; one of MATH 220, MATH 221, MATH 234.",3 hours.,,Social & Beh Sci - Soc Sci,10008,ONL,"Financial Aid is generally not available for the winter session.  If you have specific questions regarding your aid eligibility contact the Office of Student Financial Aid at finaid@illinois.edu or 217-333-0100. This section has one or more proctored exams, which may carry additional fees. For ProctorU technical specifications and additional information visit: http://www.ao.uiuc.edu/support/source/student_services/proctoru_tech.html",,,,,,1,2014-12-22Z,2015-01-16Z,0,ONL,Online,ARRANGED,,,,,"Petry, J"
2015,Winter,KV,ECON,Economics,203,Economic Statistics II,"Continuation of ECON 202. Builds upon point and interval estimation as well as hypothesis testing skills first introduced in ECON 202. Utilizes a practical project format to extend the student skill set to include simple and multiple linear regression and time series techniques. Prerequisite: ECON 202; one of MATH 220, MATH 221, MATH 234.",3 hours.,,Social & Beh Sci - Soc Sci,10008,ONL,"Financial Aid is generally not available for the winter session.  If you have specific questions regarding your aid eligibility contact the Office of Student Financial Aid at finaid@illinois.edu or 217-333-0100. This section has one or more proctored exams, which may carry additional fees. For ProctorU technical specifications and additional information visit: http://www.ao.uiuc.edu/support/source/student_services/proctoru_tech.html",,,,,,1,2014-12-22Z,2015-01-16Z,0,ONL,Online,ARRANGED,,,,,"Sarhangian, S"
2015,Winter,KV,SOC,Sociology,100,Introduction to Sociology,"Examination of how societies grow and change; reciprocal effects of economic, political, community, familial, and scientific institutions on each other and on individual life changes; and social conflict, problems of bureaucratic growth and planned and unplanned social change.",4 hours.,1SS,Social & Beh Sci - Soc Sci,10009,ONL,Financial Aid is generally not available for the winter session.  If you have specific questions regarding your aid eligibility contact the Office of Student Financial Aid at finaid@illinois.edu or 217-333-0100.,,Social Sciences course.,,,,1,2014-12-22Z,2015-01-16Z,0,ONL,Online,ARRANGED,,,,,"Kim, S"
2015,Winter,KV,SOC,Sociology,100,Introduction to Sociology,"Examination of how societies grow and change; reciprocal effects of economic, political, community, familial, and scientific institutions on each other and on individual life changes; and social conflict, problems of bureaucratic growth and planned and unplanned social change.",4 hours.,1SS,Social & Beh Sci - Soc Sci,10009,ONL,Financial Aid is generally not available for the winter session.  If you have specific questions regarding your aid eligibility contact the Office of Student Financial Aid at finaid@illinois.edu or 217-333-0100.,,Social Sciences course.,,,,1,2014-12-22Z,2015-01-16Z,0,ONL,Online,ARRANGED,,,,,"Morrow, R"
2015,Winter,KV,SOC,Sociology,100,Introduction to Sociology,"Examination of how societies grow and change; reciprocal effects of economic, political, community, familial, and scientific institutions on each other and on individual life changes; and social conflict, problems of bureaucratic growth and planned and unplanned social change.",4 hours.,1SS,Social & Beh Sci - Soc Sci,10009,ONL,Financial Aid is generally not available for the winter session.  If you have specific questions regarding your aid eligibility contact the Office of Student Financial Aid at finaid@illinois.edu or 217-333-0100.,,Social Sciences course.,,,,1,2014-12-22Z,2015-01-16Z,0,ONL,Online,ARRANGED,,,,,"Steward, D"
