year,term,college,subject,subject_name,number,name,description,credit_hours,gen_ed,gen_ed_name,crn,section,section_info,section_notes,section_attributes,section_capp_area,section_co_request,section_special_approval,part_of_term,start_date,end_date,meeting,type,type_name,start_time,end_time,days,room,building,instructor
2005,Summer,KV,AAS,Asian American Studies Program,100,Intro Asian American Studies,"(AAS 100) Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics. ",3 hours.,1US,Cultural Studies - US Minority,30560,A  ,,,"UIUC Social Sciences, and US Minority Culture(s) course.",,,,S2,2005-06-13Z,2005-08-04Z,0,LCD,Lecture-Discussion,01:00 PM,02:45 PM,TWR    ,G46,Foreign Languages Building,"Bui, D"
2005,Summer,KV,AAS,Asian American Studies Program,100,Intro Asian American Studies,"(AAS 100) Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics. ",3 hours.,1SS,Social & Beh Sci - Soc Sci,30560,A  ,,,"UIUC Social Sciences, and US Minority Culture(s) course.",,,,S2,2005-06-13Z,2005-08-04Z,0,LCD,Lecture-Discussion,01:00 PM,02:45 PM,TWR    ,G46,Foreign Languages Building,"Bui, D"
2005,Summer,KV,AAS,Asian American Studies Program,290,Individual Study,(AAS 290) Supervised reading and research in Asian American Studies chosen by the student with instructor approval. May be repeated to a maximum of 6 hours.  Prerequisite: AAS 100.,2 TO 3 hours.,,Social & Beh Sci - Soc Sci,10027,,,,,,,,1,2005-05-16Z,2005-08-04Z,0,IND,Independent Study,ARRANGED,,,,,
2005,Summer,KL,ABE,Agricultural Engineering,199,Undergraduate Open Seminar,(AG E 199) Experimental course on a special topic in Agricultural Engineering. May be repeated to a maximum of 12 hours.,1 TO 5 hours.,,Social & Beh Sci - Soc Sci,10141,,,,,,,,1,2005-05-16Z,2005-08-04Z,0,IND,Independent Study,ARRANGED,,,,,
2005,Summer,KL,ABE,Agricultural Engineering,293,Off-Campus Internship,"(AG E 293) Supervised, off-campus experience in a field directly pertaining to a subject matter in agricultural engineering. May be repeated to a maximum of 8 hours. Prerequisite: Sophomore standing and consent of instructor.",1 TO 4 hours.,,Social & Beh Sci - Soc Sci,10153,,,,,,,,1,2005-05-16Z,2005-08-04Z,0,IND,Independent Study,ARRANGED,,,,,
2005,Summer,KL,ABE,Agricultural Engineering,295,Independent Study,"(AG E 295) Individual research, special problems, thesis, development and/or design work under the supervision of a member of the faculty. May be repeated to a maximum of 8 hours.",1 TO 4 hours.,,Social & Beh Sci - Soc Sci,10158,,,,,,,,1,2005-05-16Z,2005-08-04Z,0,IND,Independent Study,ARRANGED,,,,,
2005,Summer,KL,ABE,Agricultural Engineering,396,UG Honors Research or Thesis,"(AG E 296) Individual research, special problems, thesis, development and/or design work under the direction of the honors advisor. May be repeated to a maximum of 8 hours. Prerequisite: Junior Standing, admission to the ACES Honors Program or James Scholar Program in Engineering, and consent of instructor.",1 TO 4 hours.,,Social & Beh Sci - Soc Sci,10163,,,,,,,,1,2005-05-16Z,2005-08-04Z,0,IND,Independent Study,ARRANGED,,,,,
2005,Summer,KL,ABE,Agricultural Engineering,430,Project Management,"(AG E 324) Engineering team effectiveness; project definition; assessing related technologies; marketing and business planning related to engineering; budgeting and financial analyses of engineering projects; safety, ethics and environmental considerations; intellectual property; engineering proposal presentation. Same as TSM 430. Prerequisite: Senior or graduate standing, or consent of instructor.",2 hours.,,Social & Beh Sci - Soc Sci,32433,A  ,,,,,,,1,2005-05-16Z,2005-08-04Z,0,LCD,Lecture-Discussion,04:00 PM,05:50 PM,MF     ,208,Agricultural Engr Sciences Bld,"Christianson, L"
2005,Summer,KL,ABE,Agricultural Engineering,498,Special Topics,(AG E 396) Group discussion or an experimental course on a special topic in agricultural engineering. May be repeated to a maximum of 16 hours.,1 TO 4 hours.,,Social & Beh Sci - Soc Sci,10169,,,,,,,,1,2005-05-16Z,2005-08-04Z,0,IND,Independent Study,ARRANGED,,,,,
2005,Summer,KL,ABE,Agricultural Engineering,597,Independent Study,(AG E 496) Individual investigations or studies of any phases of agricultural engineering selected by the student and approved by the advisor and the faculty member who will supervise the study. May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.,1 TO 4 hours.,,Social & Beh Sci - Soc Sci,10174,,,,,,,,1,2005-05-16Z,2005-08-04Z,0,IND,Independent Study,ARRANGED,,,,,
2005,Summer,KL,ABE,Agricultural Engineering,599,Thesis Research,(AG E 499) May be repeated. Approved for S/U grading only.,0 TO 16 hours.,,Social & Beh Sci - Soc Sci,10177,,,,,,,,1,2005-05-16Z,2005-08-04Z,0,IND,Independent Study,ARRANGED,,,,,
